card_name_a,card_name_b,games,wins,win_rate,win_lift_vs_baseline
Scrooge McDuck - Resourceful Miser,Tamatoa - Happy as a Clam,22,18,0.8181818181818182,0.22187574958023515
Maui - Half-Shark,Someone Will Lose His Head,11,9,0.8181818181818182,0.22187574958023515
"Next Stop, Olympus",Someone Will Lose His Head,11,9,0.8181818181818182,0.22187574958023515
Sail the Azurite Sea,Someone Will Lose His Head,11,9,0.8181818181818182,0.22187574958023515
Maurice's Workshop,Ruby Chromicon,49,40,0.8163265306122449,0.22002046201066183
Might Solve a Mystery,Ruby Chromicon,21,17,0.8095238095238095,0.21321774092222645
Oswald - The Lucky Rabbit,Sisu - Empowered Sibling,256,207,0.80859375,0.21228768139841692
Ruby Chromicon,Scrooge McDuck - Resourceful Miser,47,38,0.8085106382978723,0.2122045696962892
Basil's Magnifying Glass,Might Solve a Mystery,26,21,0.8076923076923077,0.21138623909072463
Basil's Magnifying Glass,Gold Coin,77,62,0.8051948051948052,0.20888873659322216
Pawpsicle,Ruby Chromicon,50,40,0.8,0.20369393139841696
Might Solve a Mystery,Oswald - The Lucky Rabbit,45,36,0.8,0.20369393139841696
Basil's Magnifying Glass,Maui - Hero to All,35,28,0.8,0.20369393139841696
Sapphire Coil,Tamatoa - Happy as a Clam,20,16,0.8,0.20369393139841696
Cinderella - Dream Come True,Maui - Half-Shark,10,8,0.8,0.20369393139841696
Develop Your Brain,Someone Will Lose His Head,10,8,0.8,0.20369393139841696
Fishbone Quill,Maui's Fish Hook,10,8,0.8,0.20369393139841696
Lucky Dime,Tamatoa - Happy as a Clam,10,8,0.8,0.20369393139841696
Mulan - Resourceful Recruit,Nani - Stage Manager,10,8,0.8,0.20369393139841696
Mulan - Resourceful Recruit,Ursula - Deceiver,10,8,0.8,0.20369393139841696
A Pirate's Life,Develop Your Brain,5,4,0.8,0.20369393139841696
A Pirate's Life,How Far I'll Go,5,4,0.8,0.20369393139841696
A Pirate's Life,Sail the Azurite Sea,5,4,0.8,0.20369393139841696
Akood et Emuti,Lucifer - Cunning Cat,5,4,0.8,0.20369393139841696
Amethyst Chromicon,Keep the Ancient Ways,5,4,0.8,0.20369393139841696
Ariel - Spectacular Singer,Diablo - Maleficent's Spy,5,4,0.8,0.20369393139841696
Basil's Magnifying Glass,Tamatoa - Happy as a Clam,5,4,0.8,0.20369393139841696
Belle - Apprentice Inventor,Great Stone Dragon,5,4,0.8,0.20369393139841696
Belle - Apprentice Inventor,Ratigan's Marvelous Trap,5,4,0.8,0.20369393139841696
Brawl,Maui's Fish Hook,5,4,0.8,0.20369393139841696
Cinderella - Dream Come True,Scuttle - Birdbrained,5,4,0.8,0.20369393139841696
Cinderella - Dream Come True,Someone Will Lose His Head,5,4,0.8,0.20369393139841696
Dig a Little Deeper,Tipo - Growing Son,5,4,0.8,0.20369393139841696
Eilonwy - Princess of Llyr,Webby Vanderquack - Junior Prospector,5,4,0.8,0.20369393139841696
Fire the Cannons!,Keep the Ancient Ways,5,4,0.8,0.20369393139841696
Friends on the Other Side,John Smith - Skillful Explorer,5,4,0.8,0.20369393139841696
Friends on the Other Side,Pete - Games Referee,5,4,0.8,0.20369393139841696
Gadget's Goggles,Tamatoa - So Shiny!,5,4,0.8,0.20369393139841696
Gramma Tala - Keeper of Ancient Stories,McDuck Manor - Scrooge's Mansion,5,4,0.8,0.20369393139841696
Great Stone Dragon,Lucky Dime,5,4,0.8,0.20369393139841696
How Far I'll Go,McDuck Manor - Scrooge's Mansion,5,4,0.8,0.20369393139841696
Lucifer - Cunning Cat,Mowgli - Man Cub,5,4,0.8,0.20369393139841696
Lucifer - Cunning Cat,We Don't Talk About Bruno,5,4,0.8,0.20369393139841696
McDuck Manor - Scrooge's Mansion,Pawpsicle,5,4,0.8,0.20369393139841696
McDuck Manor - Scrooge's Mansion,Vision of the Future,5,4,0.8,0.20369393139841696
Piglet - Pooh Pirate Captain,Webby Vanderquack - Junior Prospector,5,4,0.8,0.20369393139841696
